id,influencer_id,url,post,follower,like,comment,react_rate,desire_to_mimic,sWOM,purchase_intention
822,actorjiwon,https://instagram.com/actorjiwon,3,1526,303,30,0.031173937,,,
823,_.roml._,https://instagram.com/_.roml._,8,1311,228,35,0.010746976,,,
824,myjin_life,https://instagram.com/myjin_life,19,1394,280,8,0.004660144,,,
825,cokingsat7,https://instagram.com/cokingsat7,9,1347,660,42,0.024817054,,,
826,star_in_j,https://instagram.com/star_in_j,15,1315,524,14,0.011689299,,,
827,hwxrxng,https://instagram.com/hwxrxng,5,2259,3318,58,0.128097135,,,
828,ha_longpooh,https://instagram.com/ha_longpooh,11,1253,583,21,0.0187809,,,
829,seyul_323,https://instagram.com/seyul_323,19,1441,3223,111,0.052188069,,,
830,null_e,https://instagram.com/null_e,3,1330,0,0,0,,,
831,by_twentydays,https://instagram.com/by_twentydays,7,1386,1018,39,0.046691404,,,
832,jjo_hy_,https://instagram.com/jjo_hy_,1,789,78,3,0.043997827,,,
833,sss_inheheh,https://instagram.com/sss_inheheh,5,1321,193,24,0.014080242,,,
834,hotppinku,https://instagram.com/hotppinku,3,1222,121,8,0.015080664,,,
